ids	label	local	date	chanel_depth	wind	distance	image_id
50	Motorboat	Vigo sea loch - Zone 1	2013/7/23	15	10.5	0-50	24
51	Motorboat	Vigo sea loch - Zone 1	2013/7/23	15	10.5	50-100	26
52	Motorboat	Vigo sea loch - Zone 1	2013/7/23	15	10.5	50-100	27
53	Passengers	Vigo sea loch - Zone 1	2013/7/23	15	10.5	50-100	20
54	Passengers	Vigo sea loch - Zone 1	2013/7/23	15	10.5	50-100	20
55	Passengers	Vigo sea loch - Zone 1	2013/7/23	15	10.5	50-100	20
56	Sailboat	Vigo sea loch - Zone 1	2013/7/23	15	10.5	0-50	21
57	Sailboat	Vigo sea loch - Zone 1	2013/7/23	15	10.5	0-50	22
58	RORO	Vigo sea loch - Zone 2	2013/7/23	12	10.5	100-200	29
59	Passengers	Vigo sea loch - Zone 2	2013/7/23	12	10.5	50-100	6
60	Passengers	Vigo sea loch - Zone 2	2013/7/23	12	10.5	50-100	4
61	Passengers	Vigo sea loch - Zone 2	2013/7/23	12	10.5	50-100	4
62	Passengers	Vigo sea loch - Zone 2	2013/7/23	12	10.5	50-100	4
63	Passengers	Vigo sea loch - Zone 2	2013/7/23	12	10.5	50-100	2
64	Passengers	Vigo sea loch - Zone 2	2013/7/23	12	10.5	50-100	2
65	Passengers	Vigo sea loch - Zone 2	2013/7/23	12	10.5	50-100	5
66	Mussel boat	Vigo sea loch - Zone 2	2013/7/23	12	10.5	0-50	30
67	Passengers	Vigo sea loch - Zone 2	2013/7/23	12	10.5	50-100	3
68	Sailboat	Vigo sea loch - Zone 2	2013/7/23	12	10.5	0-50	N.A.
69	Ocean liner	Vigo sea loch - Zone 3	2013/7/23	14	18	50-100	32
70	Motorboat	Vigo sea loch - Zone 3	2013/7/23	14	18	0-50	N.A.
71	Ocean liner	Vigo sea loch - Zone 3	2013/7/23	14	18	100-200	31
72	Motorboat	Vigo sea loch - Zone 3	2013/7/23	14	18	0-50	N.A.
73	Fishboat	Vigo sea loch - Zone 3	2013/7/23	14	18	0-50	N.A.
74	Fishboat	Vigo sea loch - Zone 3	2013/7/23	14	18	0-50	N.A.
75	Fishboat	Vigo sea loch - Zone 3	2013/7/23	14	18	0-50	N.A.
76	Fishboat	Vigo sea loch - Zone 3	2013/7/23	14	18	0-50	N.A.
77	Motorboat	Vigo sea loch - Zone 3	2013/7/23	14	18	50-100	N.A.
78	RORO	Vigo sea loch - Zone 3	2013/7/23	14	18	50-100	33
79	Motorboat	Vigo sea loch - Zone 3	2013/7/23	14	18	50-100	N.A.
80	Dredger	Punta Langosteira	2012/10/4	20	N.A.	350	1
81	Natural ambient noise	Intecmar weather station	2013/9/25	7.5	5.3	0-50	34
82	Natural ambient noise	Intecmar weather station	2013/9/27	7.5	3.3	0-50	34
83	Natural ambient noise	Intecmar weather station	2013/9/27	7.5	1.9	0-50	34
84	Natural ambient noise	Intecmar weather station	2013/9/27	7.5	12.2	0-50	34
85	Natural ambient noise	Intecmar weather station	2013/9/25	7.5	N.A.	0-50	34
86	Natural ambient noise	Intecmar weather station	2013/9/25	7.5	N.A.	0-50	34
87	Natural ambient noise	Intecmar weather station	2013/9/25	7.5	N.A.	0-50	34
88	Natural ambient noise	Intecmar weather station	2013/9/25	7.5	N.A.	0-50	34
89	Natural ambient noise	Intecmar weather station	2013/9/25	7.5	N.A.	0-50	34
90	Natural ambient noise	Intecmar weather station	2013/9/25	7.5	N.A.	0-50	34
91	Natural ambient noise	Intecmar weather station	2013/9/25	7.5	N.A.	0-50	34
92	Natural ambient noise	Intecmar weather station	2013/9/25	7.5	N.A.	0-50	34
93	Dredger	Moanha dredger test	2014/3/6	12	N.A.	100	1
94	Dredger	Moanha dredger test	2014/3/6	12	N.A.	100	1
95	Dredger	Moanha dredger test	2014/3/6	12	N.A.	100	1
96	Dredger	Moanha dredger test	2014/3/6	12	N.A.	100	1
